Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
Jared Huffman,Male,White,,,Yes,No,California,Representative,2,Won,,Jared Huffman,DEM,"HUFFMAN, JARED",H,DEM,CA,2.0,C,I,2011-01-24,938689.41,932320.69,928810.57,0.0,House
Kermit Jones,Male,Black,,,No,No,California,Representative,3,Won,,Kermit Jones,DEM,"JONES, KERMIT",H,DEM,CA,3.0,C,C,2021-08-02,3261535.0,3230693.36,30841.64,0.0,House
David Peterson,Male,White,,,No,No,California,Representative,3,Lost,,David Peterson,DEM,"PETERSON, DAVID",H,DEM,CA,3.0,N,C,2018-03-09,0.0,0.0,0.0,0.0,House
Andrew David Engdahl,Male,White,,,No,Yes,California,Representative,4,Lost,,Andrew Engdahl,DEM,"ENGDAHL, ANDREW DAVID",H,DEM,CA,4.0,C,C,2022-03-28,13264.2,10264.97,3107.01,0.0,House
Mike Thompson,Male,White,,,Yes,No,California,Representative,4,Won,,Mike Thompson,DEM,"THOMPSON, MIKE MR.",H,DEM,CA,4.0,C,I,1997-03-04,2278299.13,2396636.82,1627833.89,71025.35,House
"Michael J. ""Mike"" Barkley",Male,White,,,No,No,California,Representative,5,Won,,Michael Barkley,DEM,"BARKLEY, MICHAEL JAMES MR.",H,DEM,CA,5.0,C,C,2011-04-20,461674.19,462048.75,78.23,473713.05,House
Mark Gorman,Male,White,,,No,Yes,California,Representative,6,Lost,,Mark Gorman,DEM,"GORMAN, MARK EDWARD",H,DEM,CA,6.0,N,C,2021-08-07,0.0,0.0,0.0,0.0,House
Doris Matsui,Female,Asian (Japanese),,,Yes,No,California,Representative,7,Won,,Doris Matsui,DEM,"MATSUI, DORIS",H,DEM,CA,7.0,C,I,2005-01-25,1400594.49,1488665.86,181340.09,0.0,House
John Garamendi,Male,White,,,Yes,No,California,Representative,8,Won,,John Garamendi,DEM,"GARAMENDI, JOHN",H,DEM,CA,8.0,C,I,2009-06-03,1146918.01,1136592.75,1121447.54,0.0,House
Christopher Riley,Male,Latino (Salvadoran),White,,No,Yes,California,Representative,8,Lost,,Christopher Riley,DEM,"RILEY, CHRISTOPHER",H,DEM,CA,8.0,N,C,2022-03-02,0.0,0.0,0.0,0.0,House
Edwin Rutsch,Male,White,,,No,Yes,California,Representative,8,Lost,,Edwin Rutsch,DEM,"RUTSCH, EDWIN",H,DEM,CA,8.0,C,C,2022-02-01,9075.0,9075.0,0.0,0.0,House
Cheryl Sudduth,Female,Black,,,No,Yes,California,Representative,8,Lost,,Cheryl Sudduth,DEM,"SUDDUTH, CHERYL",H,DEM,CA,8.0,C,C,2022-01-28,37949.76,37801.76,0.0,0.0,House
Harpreet Singh Chima,Male,Asian,,,No,Yes,California,Representative,9,Lost,,Harpreet Chima,DEM,"CHIMA, HARPREET SINGH",H,DEM,CA,9.0,C,O,2021-07-19,80930.61,80940.93,0.0,0.0,House
Karena Apple Feng,Female,Asian,,,No,Yes,California,Representative,9,Lost,,Karena Feng,DEM,"FENG, KARENA",H,DEM,CA,9.0,C,O,2021-12-09,6386865.68,6381714.98,0.0,0.0,House
Josh Harder,Male,White,,,Yes,No,California,Representative,9,Won,,Josh Harder,DEM,"HARDER, JOSH",H,DEM,CA,9.0,C,O,2017-05-02,6593261.38,8913422.09,1149601.82,0.0,House
Khalid Jeffrey Jafri,Male,Asian (Indian),,,No,Yes,California,Representative,9,Lost,,Khalid Jafri,DEM,"JAFRI, KHALID",H,DEM,CA,9.0,N,C,2000-03-11,0.0,0.0,0.0,0.0,House
Mark DeSaulnier,Male,White,,,Yes,No,California,Representative,10,Won,,Mark Desaulnier,DEM,"DESAULNIER, MARK",H,DEM,CA,10.0,C,I,2009-03-27,618156.84,524180.45,575364.4,0.0,House
Shahid Buttar,Male,Asian (Pakistani),,,No,Yes,California,Representative,11,Lost,,Shahid Buttar,DEM,"BUTTAR, SHAHID",H,DEM,CA,11.0,C,C,2018-02-19,179767.01,201945.88,237.78,23005.36,House
Nancy Pelosi,Female,White,,,Yes,No,California,Representative,11,Won,,Nancy Pelosi,DEM,"PELOSI, NANCY",H,DEM,CA,11.0,C,I,1987-02-09,25577528.17,28283172.75,3593728.76,0.0,House
Jeffrey Phillips,Male,White,,,No,Yes,California,Representative,11,Lost,,Jeffrey Phillips,DEM,"PHILLIPS, JEFFREY ALAN",H,DEM,CA,11.0,C,C,2021-01-11,4979.03,4979.03,0.0,4336.16,House
Barbara Lee,Female,Black,,,Yes,No,California,Representative,12,Won,,Barbara Lee,DEM,"LEE, BARBARA",H,DEM,CA,12.0,C,I,1997-12-10,2183372.57,2341393.04,52353.25,0.0,House
Eric Wilson,Male,Black,,,No,Yes,California,Representative,12,Lost,,Eric Wilson,DEM,"WILSON, ERIC",H,DEM,CA,12.0,N,C,,0.0,0.0,0.0,0.0,House
Phil Arballo,Male,Latino,,,No,No,California,Representative,13,Lost,,Phil Arballo,DEM,"ARBALLO, PHIL",H,DEM,CA,13.0,C,C,2019-06-05,1607918.72,1637184.73,0.0,0.0,House
Adam Gray,Male,White,,,No,No,California,Representative,13,Won,,Adam Gray,DEM,"GRAY, ADAM C.",H,DEM,CA,13.0,C,C,2022-01-18,2390120.97,2335746.28,54374.69,61054.26,House
James Andrew Peters,Male,White,,,No,Yes,California,Representative,14,Lost,,James Peters,DEM,"PETERS, JAMES ANDREW MR. JR",H,DEM,CA,14.0,N,O,2022-02-12,0.0,0.0,0.0,0.0,House
Eric Swalwell,Male,White,,,Yes,No,California,Representative,14,Won,,Eric Swalwell,DEM,"SWALWELL, ERIC MICHAEL",H,DEM,CA,14.0,C,I,2011-09-13,3943361.57,3817690.34,628599.97,0.0,House
Emily Beach,Female,White,,,No,No,California,Representative,15,Lost,,Emily Beach,DEM,"BEACH, EMILY",H,DEM,CA,15.0,C,O,2021-11-24,580608.95,580608.95,0.0,0.0,House
David J. Canepa,Male,White,,,No,No,California,Representative,15,Made runoff,,David Canepa,DEM,"CANEPA, DAVID",H,DEM,CA,15.0,C,O,2021-11-19,815538.47,815318.46,220.01,0.0,House
Kevin Mullin,Male,White,,,No,No,California,Representative,15,Made runoff,,Kevin Mullin,DEM,"MULLIN, KEVIN",H,DEM,CA,15.0,C,O,2021-11-19,1213762.86,1191228.71,22534.15,5120.25,House
Andrew G. Watters,Male,White,,,No,No,California,Representative,15,Lost,,Andrew Watters,DEM,"WATTERS, ANDREW G.",H,DEM,CA,14.0,C,O,2021-11-16,10000.0,0.0,10000.0,10000.0,House
Anna G. Eshoo,Female,Middle Eastern (Armenian),,,Yes,No,California,Representative,16,Made runoff,,Anna Eshoo,DEM,"ESHOO, ANNA G.",H,DEM,CA,16.0,C,I,1987-12-28,2037404.98,2069255.34,520948.43,0.0,House
Rishi Kumar,Male,Asian (Indian),,,No,Yes,California,Representative,16,Made runoff,,Rishi Kumar,DEM,"KUMAR, RISHI",H,DEM,CA,16.0,C,C,2019-02-04,747661.06,752584.28,-1108.84,280000.0,House
Ajwang Rading,Male,Black,,,No,Yes,California,Representative,16,Lost,,Ajwang Rading,DEM,"RADING, AJWANG",H,DEM,CA,16.0,C,C,2021-07-29,258838.8,233036.68,25802.12,0.0,House
Greg Lin Tanaka,Male,Asian,,,No,Yes,California,Representative,16,Lost,,Greg Tanaka,DEM,"TANAKA, GREG",H,DEM,CA,16.0,C,C,2020-12-18,148222.46,148222.46,0.0,0.0,House
Stephen Forbes,Male,White,,,No,Yes,California,Representative,17,Lost,,Stephen Forbes,DEM,"FORBES, STEPHEN",H,DEM,CA,17.0,N,C,2020-01-23,0.0,0.0,0.0,0.0,House
Rao Ravul,Male,Asian,,,No,Yes,California,Representative,17,Lost,,Rao Ravul,DEM,"RAVUL, RAO",H,DEM,CA,17.0,N,C,,0.0,0.0,0.0,0.0,House
Luis Acevedo-Arreguin,Male,Latino (Mexican),,,No,Yes,California,Representative,18,Lost,,Luis Acevedo-Arreguin,DEM,"ACEVEDO-ARREGUIN, LUIS",H,DEM,CA,18.0,C,C,2022-02-13,22252.56,16334.18,5918.38,17072.0,House
Zoe Lofgren,Female,White,,,Yes,No,California,Representative,18,Won,,Zoe Lofgren,DEM,"LOFGREN, ZOE",H,DEM,CA,18.0,C,I,1994-02-18,2022557.14,2771724.75,411369.83,1975.0,House
Douglas Deitch,Male,White,,,No,Yes,California,Representative,19,Lost,,Douglas Deitch,DEM,"DEITCH, DOUGLAS",H,DEM,CA,19.0,N,C,,0.0,0.0,0.0,0.0,House
Jimmy Panetta,Male,White,,,Yes,No,California,Representative,19,Won,,Jimmy Panetta,DEM,"PANETTA, JIMMY",H,DEM,CA,19.0,C,I,2015-11-17,2623733.1,1618679.93,2180409.89,0.0,House
Ben Dewell,Male,White,,,No,No,California,Representative,20,Lost,,Ben Dewell,DEM,"DEWELL, BEN",H,DEM,CA,20.0,N,C,2022-02-18,1797.0,1234.6,562.4,500.0,House
Marisa Wood,Female,White,,,No,No,California,Representative,20,Won,,Marisa Wood,DEM,"WOOD, MARISA",H,DEM,CA,20.0,C,C,2021-05-12,1051451.47,1046953.62,4497.85,0.0,House
Jim Costa,Male,White,,,Yes,No,California,Representative,21,Won,,Jim Costa,DEM,"COSTA, JIM",H,DEM,CA,21.0,C,I,2003-10-07,2034865.46,2055957.67,389078.41,0.0,House
Eric Garcia,Male,Latino (Mexican),,,No,Yes,California,Representative,21,Lost,,Eric Garcia,DEM,"GARCIA, ERIC",H,DEM,CA,22.0,C,C,2019-09-20,219071.35,219071.35,0.0,20910.5,House
Rudy Salas,Male,Latino,,,No,No,California,Representative,22,Won,,Rudy Salas,DEM,"SALAS, RUDY",H,DEM,CA,22.0,C,C,2021-10-17,2953288.73,2938879.9,14408.83,0.0,House
Derek Marshall,Male,White,,,No,No,California,Representative,23,Won,,Derek Marshall,DEM,"MARSHALL, DEREK",H,DEM,CA,23.0,C,C,2020-12-31,956858.59,942607.77,14250.82,0.0,House
Salud Carbajal,Male,Latino (Mexican),,,Yes,No,California,Representative,24,Won,,Salud Carbajal,DEM,"CARBAJAL, SALUD O.",H,DEM,CA,24.0,F,I,2015-04-15,2178872.17,1475590.62,2103986.23,0.0,House
Raul Ruiz,Male,Latino (Mexican),,,Yes,No,California,Representative,25,Won,,Raul Ruiz,DEM,"RUIZ, RAUL DR.",H,DEM,CA,25.0,C,I,2011-09-23,2307413.1,3036789.03,1586796.01,0.0,House
Julia Brownley,Female,White,,,Yes,No,California,Representative,26,Won,,Julia Brownley,DEM,"BROWNLEY, JULIA",H,DEM,CA,26.0,C,I,2012-03-05,2446763.43,5211001.12,349192.51,0.0,House
Ruth Luevanos,Female,Latino,,,No,No,California,Representative,27,Lost,,Ruth Luevanos,DEM,"LUEVANOS, RUTH",H,DEM,CA,25.0,C,C,2021-04-01,55620.04,50723.3,4896.74,64181.19,House
Christy Smith,Female,White,,,No,No,California,Representative,27,Won,,Christy Smith,DEM,"SMITH, CHRISTY",H,DEM,CA,27.0,C,C,2019-10-30,3949504.79,4067086.96,51825.48,0.0,House
Dorothy Caronna,Female,White,,,No,Yes,California,Representative,28,Lost,,Dorothy Caronna,DEM,"CARONNA, DOROTHY",H,DEM,CA,28.0,N,C,,0.0,0.0,0.0,0.0,House
Judy Chu,Female,Asian (Chinese),,,Yes,No,California,Representative,28,Won,,Judy Chu,DEM,"CHU, JUDY",H,DEM,CA,28.0,C,I,2008-12-24,1587238.65,1022615.56,3346392.6,0.0,House
Tony Cardenas,Male,Latino (Mexican),,,Yes,No,California,Representative,29,Made runoff,,Tony Cardenas,DEM,"CARDENAS, TONY",H,DEM,CA,29.0,C,I,2011-07-13,1595441.44,1885959.05,239271.51,8885.92,House
Sal Genovese,Male,White,,,No,Yes,California,Representative,30,Lost,,Sal Genovese,DEM,"GENOVESE, SAL",H,DEM,CA,30.0,N,C,,0.0,0.0,0.0,0.0,House
"G ""Maebe A. Girl"" Pudlo",Female,White,,,No,Yes,California,Representative,30,Made runoff,,G Pudlo,DEM,"PUDLO, G MAEBE A. GIRL",H,DEM,CA,30.0,C,C,2019-06-28,32898.1,31578.69,1625.22,0.0,House
Adam B. Schiff,Male,White,,,Yes,No,California,Representative,30,Made runoff,,Adam Schiff,DEM,"SCHIFF, ADAM",H,DEM,CA,30.0,C,I,1999-03-18,25328092.74,18213398.9,21022960.33,0.0,House
Grace F. Napolitano,Female,Latino,,,Yes,No,California,Representative,31,Won,,Grace Napolitano,DEM,"NAPOLITANO, GRACE",H,DEM,CA,31.0,P,I,1998-03-12,367395.21,240026.76,660698.43,0.0,House
Shervin Aazami,Male,Middle Eastern (Iranian),,,No,Yes,California,Representative,32,Lost,,Shervin Aazami,DEM,"AAZAMI, SHERVIN",H,DEM,CA,32.0,C,C,2021-01-16,281217.36,298818.52,887.64,0.0,House
Jason Potell,Male,White,,,No,Yes,California,Representative,32,Lost,,Jason Potell,DEM,"POTELL, JASON RANDOLPH",H,DEM,CA,32.0,C,C,2021-07-13,52795.0,63583.82,-12208.3,0.0,House
Aarika Samone Rhodes,Female,Black,,,No,Yes,California,Representative,32,Lost,,Aarika Rhodes,DEM,"RHODES, AARIKA SAMONE",H,DEM,CA,32.0,C,C,2020-06-08,350294.41,369642.3,37542.2,0.0,House
Brad Sherman,Male,White,,,Yes,No,California,Representative,32,Won,,Brad Sherman,DEM,"SHERMAN, BRAD",H,DEM,CA,32.0,C,I,1995-11-16,2651948.74,2307797.09,2968772.61,899.0,House
Pete Aguilar,Male,Latino (Mexican),,,Yes,No,California,Representative,33,Won,,Pete Aguilar,DEM,"AGUILAR, PETE",H,DEM,CA,33.0,C,I,2012-01-17,3255093.36,3514931.08,1579756.32,0.0,House
Jimmy Gomez,Male,Latino (Mexican),,,Yes,No,California,Representative,34,Made runoff,,Jimmy Gomez,DEM,"GOMEZ, JIMMY",H,DEM,CA,34.0,C,I,2016-12-06,1778066.38,1712082.18,555502.79,15233.56,House
David Kim,Male,Asian (Korean),,,No,Yes,California,Representative,34,Made runoff,,David Kim,DEM,"KIM, DAVID YUNG HO",H,DEM,CA,34.0,C,C,2021-11-26,264511.59,250999.42,13512.17,9000.0,House
Lloyd A. Stevens,Male,White,,,No,Yes,California,Representative,35,Lost,,Lloyd Stevens,DEM,"STEVENS, LLOYD ALEXANDER",H,DEM,CA,35.0,C,C,2022-03-13,17639.79,13971.79,3668.0,0.0,House
Norma J. Torres,Female,Latino (Guatemalan),,,Yes,No,California,Representative,35,Won,,Norma Torres,DEM,"TORRES, NORMA",H,DEM,CA,35.0,C,C,2014-02-24,784075.22,644472.79,347255.95,3413.2,House
Ted W. Lieu,Male,Asian (Taiwanese),,,Yes,No,California,Representative,36,Won,,Ted Lieu,DEM,"LIEU, TED",H,DEM,CA,36.0,C,I,2014-02-03,1510163.27,2660136.42,794390.83,0.0,House
Colin Kilpatrick Obrien,Male,Unknown,,,No,Yes,California,Representative,36,Lost,,Colin Obrien,DEM,"OBRIEN, COLIN KILPATRICK",H,DEM,CA,36.0,N,C,1988-03-28,0.0,0.0,0.0,0.0,House
Sydney Kamlager,Female,Black,White,,No,No,California,Representative,37,Made runoff,,Sydney Kamlager,DEM,"KAMLAGER, SYDNEY",H,DEM,CA,37.0,C,O,2021-12-01,1221470.83,1119591.65,101879.18,10134.68,House
Daniel W. Lee,Male,Black,,,No,No,California,Representative,37,Lost,,Daniel Lee,DEM,"LEE, DANIEL",H,DEM,CA,37.0,C,O,2021-10-01,59462.45,59337.07,125.38,3462.84,House
Sandra Mendoza,Female,Latino,,,No,No,California,Representative,37,Lost,,Sandra Mendoza,DEM,"MENDOZA, SANDRA",H,DEM,CA,37.0,C,O,2022-03-02,13578.0,13553.9,24.1,11359.76,House
Jan C. Perry,Female,Black,,,No,No,California,Representative,37,Made runoff,,Jan Perry,DEM,"PERRY, JAN",H,DEM,CA,37.0,C,O,2022-01-21,711893.36,709499.38,2393.98,3108.02,House
Michael Shure,Male,White,,,No,No,California,Representative,37,Lost,,Michael Shure,DEM,"SHURE, MICHAEL MR.",H,DEM,CA,37.0,C,O,2022-03-11,252581.82,243468.94,9112.88,51967.0,House
Mark Takano,Male,Asian (Japanese),,,Yes,No,California,Representative,39,Won,,Mark Takano,DEM,"TAKANO, MARK",H,DEM,CA,39.0,C,I,1992-03-24,1254503.88,927262.28,491205.72,0.0,House
Asif Mahmood,Male,Asian (Pakistani),,,No,No,California,Representative,40,Won,,Asif Mahmood,DEM,"MAHMOOD, ASIF DR.",H,DEM,CA,40.0,C,C,2022-02-07,3703609.48,3684772.77,18836.71,500.0,House
Shrina Kurani,Female,Asian (Indian),,,No,No,California,Representative,41,Lost,,Shrina Kurani,DEM,"KURANI, SHRINA",H,DEM,CA,41.0,C,C,2021-07-22,548956.4,548956.4,0.0,0.0,House
Will Rollins,Male,White,,,No,No,California,Representative,41,Won,,Will Rollins,DEM,"ROLLINS, WILL",H,DEM,CA,41.0,C,C,2021-10-26,3780991.55,3736059.18,44932.37,44662.7,House
Cristina Garcia,Female,Latino,,,No,No,California,Representative,42,Lost,,Cristina Garcia,DEM,"GARCIA, CRISTINA",H,DEM,CA,42.0,C,C,2021-12-23,389182.88,389182.88,0.0,0.0,House
Robert Garcia,Male,Latino (Peruvian),,,No,No,California,Representative,42,Won,,Robert Garcia,DEM,"GARCIA, ROBERT",H,DEM,CA,42.0,C,C,2021-12-17,1704812.52,1374250.43,330562.09,27586.61,House
Peter Mathews,Male,Asian (Indian),,,No,No,California,Representative,42,Lost,,Peter Mathews,DEM,"MATHEWS, PETER",H,DEM,CA,42.0,C,C,2019-09-20,12675.62,5764.34,6911.28,2100.0,House
William Moses Summerville,Male,Black,,,No,No,California,Representative,42,Lost,,William Summerville,DEM,"SUMMERVILLE, WILLIAM M.",H,DEM,CA,42.0,C,C,2022-01-28,36410.47,36370.96,39.51,12195.12,House
Jean M. Monestime,Male,Unknown,,,No,Yes,California,Representative,43,Lost,,Jean Monestime,DEM,"MONESTIME, JEAN M.",H,DEM,CA,43.0,N,C,,0.0,0.0,0.0,0.0,House
Maxine Waters,Female,Black,,,Yes,No,California,Representative,43,Won,,Maxine Waters,DEM,"WATERS, MAXINE",H,DEM,CA,43.0,C,I,1983-05-23,1248563.32,1367509.9,235632.42,34043.92,House
Nanette Diaz Barragan,Female,Latino (Mexican),,,Yes,No,California,Representative,44,Won,,Nanette Barragan,DEM,"BARRAGAN, NANETTE",H,DEM,CA,44.0,C,I,2015-04-06,1212156.11,759136.83,1503771.14,0.0,House
Morris Falls Griffin,Male,Black,,,No,Yes,California,Representative,44,Lost,,Morris Griffin,DEM,"GRIFFIN, MORRIS F",H,DEM,CA,44.0,N,C,,0.0,0.0,0.0,0.0,House
Jay F. Chen,Male,Asian (Taiwanese),,,No,No,California,Representative,45,Won,,Jay Chen,DEM,"CHEN, JAY",H,DEM,CA,45.0,C,C,2012-02-06,5037026.06,5100737.36,10014.25,6944.7,House
Lou Correa,Male,Latino (Mexican),,,Yes,No,California,Representative,46,Won,,Lou Correa,DEM,"CORREA, LOU",H,DEM,CA,46.0,C,I,2015-06-12,1293189.19,918746.97,1520142.93,9048.98,House
Stephen Houlahan,Male,White,,,No,No,California,Representative,48,Won,,Stephen Houlahan,DEM,"HOULAHAN, STEPHEN WILLIAM",H,DEM,CA,48.0,C,C,2020-12-03,71577.85,61315.73,11234.67,0.0,House
Matthew G. Rascon,Male,White,,,No,No,California,Representative,48,Lost,,Matthew Rascon,DEM,"RASCON, MATTHEW G.",H,DEM,CA,48.0,N,C,,0.0,0.0,0.0,0.0,House
Mike Levin,Male,White,,,Yes,No,California,Representative,49,Won,,Mike Levin,DEM,"LEVIN, MIKE",H,DEM,CA,49.0,C,I,2017-03-03,5149615.51,6516425.87,135450.94,5000.0,House
Nadia Bahia Smalley,Female,Black,,,No,Yes,California,Representative,49,Lost,,Nadia Smalley,DEM,"SMALLEY, NADIA BAHIA",H,DEM,CA,49.0,N,C,,0.0,0.0,0.0,0.0,House
Scott Peters,Male,White,,,Yes,No,California,Representative,50,Won,,Scott Peters,DEM,"PETERS, SCOTT",H,DEM,CA,50.0,C,I,2011-10-03,2410741.93,2257902.97,1733957.05,170760.12,House
Kylie Louie Vie Benitez Taitano,Female,Asian (Filipino),,,No,Yes,California,Representative,50,Lost,,Kylie Taitano,DEM,"TAITANO, KYLIE",H,DEM,CA,50.0,C,C,2022-01-06,148644.96,148644.96,0.0,0.0,House
Sara Jacobs,Female,White,,,Yes,No,California,Representative,51,Won,,Sara Jacobs,DEM,"JACOBS, SARA",H,DEM,CA,51.0,C,C,2017-11-16,1712465.57,1724604.81,90027.28,0.0,House
Juan Vargas,Male,Latino (Mexican),,,Yes,No,California,Representative,52,Won,,Juan Vargas,DEM,"VARGAS, JUAN C.",H,DEM,CA,52.0,C,I,1992-02-06,942886.84,793081.82,219544.32,0.0,House
Jennifer Lewis,Female,White,,,No,No,Virginia,Representative,6,Won,,Jennifer Lewis,DEM,"LEWIS, JENNIFER",H,DEM,VA,6.0,C,C,2018-02-06,143023.9,149843.77,0.0,0.0,House
Chellie Pingree,Female,White,,,Yes,No,Maine,Representative,1,Won,,Chellie Pingree,DEM,"PINGREE, CHELLIE M",H,DEM,ME,1.0,C,I,2007-03-30,576607.49,618990.31,404275.34,20000.0,House
Jared Golden,Male,White,,,Yes,No,Maine,Representative,2,Won,,Jared Golden,DEM,"GOLDEN, JARED",H,DEM,ME,2.0,C,I,2017-08-24,6068685.18,6164855.73,34690.26,0.0,House
Dina Titus,Female,White,,,Yes,No,Nevada,Representative,1,Won,,Dina Titus,DEM,"TITUS, DINA",H,DEM,NV,1.0,C,I,2008-05-13,3392335.34,3548023.72,173202.08,0.0,House
Amy Vilela,Female,White,,,No,Yes,Nevada,Representative,1,Lost,,Amy Vilela,DEM,"VILELA, AMY",H,DEM,NV,1.0,C,C,2021-04-27,590481.58,590025.55,456.03,64180.0,House
Joseph Edward Afzal,Male,White,Native American (Pomo),,No,No,Nevada,Representative,2,Lost,,Joseph Afzal,DEM,"AFZAL, JOSEPH EDWARD",H,DEM,NV,2.0,N,C,2022-03-13,138.0,512.33,0.0,0.0,House
Michael Doucette,Male,White,,,No,No,Nevada,Representative,2,Lost,,Michael Doucette,DEM,"DOUCETTE, MICHAEL LEO MR",H,DEM,NV,2.0,C,C,2022-01-28,6052.31,4174.16,1878.16,0.0,House
Gerold Lee Gorman,Male,White,,,No,No,Nevada,Representative,2,Lost,,Gerold Gorman,DEM,"GORMAN, GEROLD LEE",H,DEM,NV,2.0,N,C,,0.0,0.0,0.0,0.0,House
Brian J. Hansen,Male,White,,,No,No,Nevada,Representative,2,Lost,,Brian Hansen,DEM,"HANSEN, BRIAN J",H,DEM,NV,2.0,N,C,,0.0,0.0,0.0,0.0,House
Rahul A. Joshi,Male,Asian,,,No,No,Nevada,Representative,2,Lost,,Rahul Joshi,DEM,"JOSHI, RAHUL A",H,DEM,NV,2.0,N,C,,0.0,0.0,0.0,0.0,House
"Randell ""Randy"" Hynes",Male,White,,,No,Yes,Nevada,Representative,3,Lost,,Randell Hynes,DEM,"HYNES, RANDELL SCOTT",H,DEM,NV,3.0,N,C,2021-11-20,0.0,0.0,0.0,0.0,House
Susie Lee,Female,White,,,Yes,No,Nevada,Representative,3,Won,,Susie Lee,DEM,"LEE, SUSIE",H,DEM,NV,3.0,C,I,2015-05-28,6337405.99,6328742.98,37366.76,0.0,House
Steven A. Horsford,Male,Black,,,Yes,No,Nevada,Representative,4,Won,,Steven Horsford,DEM,"HORSFORD, STEVEN ALEXZANDER",H,DEM,NV,4.0,C,I,2011-10-25,4956048.45,5389863.42,62102.42,0.0,House
Catherine Fleming Bruce,Female,Black,,,No,No,South Carolina,Senator,,Made runoff,Lost,Catherine Bruce,DEM,"BRUCE, CATHERINE FLEMING MS.",S,DEM,SC,0.0,C,C,2022-03-08,28402.41,22150.72,5030.29,0.0,Senate
Angela Geter,Female,Black,,,No,No,South Carolina,Senator,,Lost,,Angela Geter,DEM,"GETER, ANGELA MS",S,DEM,SC,0.0,C,C,2021-10-04,17173.0,17118.19,54.81,5300.0,Senate
Krystle Matthews,Female,Black,,,No,No,South Carolina,Senator,,Made runoff,Won,Krystle Matthews,DEM,"MATTHEWS, KRYSTLE",S,DEM,SC,0.0,C,C,2021-04-12,135365.58,94233.67,35162.64,30299.05,Senate
Annie Andrews,Female,White,,,No,No,South Carolina,Representative,1,Won,,Annie Andrews,DEM,"ANDREWS, ANNIE DR.",H,DEM,SC,1.0,C,C,2021-11-08,2038067.55,1982884.26,55183.29,0.0,House
Ken Hill,Male,White,,,No,No,South Carolina,Representative,4,Won,,Ken Hill,DEM,"HILL, KEN",H,DEM,SC,4.0,N,C,,0.0,0.0,0.0,0.0,House
Kevin Eckert,Male,White,,,No,No,South Carolina,Representative,5,Lost,,Kevin Eckert,DEM,"ECKERT, KEVIN",H,DEM,SC,5.0,C,C,2022-01-18,16378.66,14843.06,2675.14,6323.85,House
Evangeline Hundley,Female,Black,,,No,No,South Carolina,Representative,5,Won,,Evangeline Hundley,DEM,"HUNDLEY, EVANGELINE",H,DEM,SC,5.0,N,C,2024-01-05,15767.34,15660.88,0.0,252.84,House
Michael Addison,Male,Black,,,No,Yes,South Carolina,Representative,6,Lost,,Michael Addison,DEM,"ADDISON, MICHAEL ANTONIO DR.",H,DEM,SC,6.0,N,C,2021-06-14,0.0,0.0,0.0,0.0,House
"James E. ""Jim"" Clyburn",Male,Black,,,Yes,No,South Carolina,Representative,6,Won,,James Clyburn,DEM,"CLYBURN, JAMES E.",H,DEM,SC,6.0,C,I,1991-10-31,3592375.11,3278334.83,2294535.61,0.0,House
"Gregg ""Marcel"" Dixon",Male,Black,,,No,Yes,South Carolina,Representative,6,Lost,,Gregg Dixon,DEM,"DIXON, GREGG MARCEL",H,DEM,SC,6.0,C,C,2021-08-10,253739.51,235700.97,18038.54,0.0,House
Daryl W. Scott,Male,Black,,,No,No,South Carolina,Representative,7,Won,,Daryl Scott,DEM,"SCOTT, DARYL",H,DEM,SC,7.0,N,C,2022-04-21,0.0,0.0,0.0,0.0,House
Katrina Christiansen,Female,White,,,No,No,North Dakota,Senator,,Won,,Katrina Christiansen,DEM,"CHRISTIANSEN, KATRINA",S,DEM,ND,0.0,C,C,2022-03-07,112995.97,109734.68,3261.29,0.0,Senate
Michael J. Steele,Male,White,,,No,No,North Dakota,Senator,,Lost,,Michael Steele,DEM,"STEELE, MICHAEL REVEREND",S,DEM,ND,0.0,N,C,2018-10-27,789.28,1579.46,0.0,0.0,Senate
Mark Haugen,Male,White,,,No,No,North Dakota,Representative,At-Large,Won,,Mark Haugen,DEM,"HAUGEN, MARK",H,DEM,ND,0.0,C,C,2022-03-30,24637.49,23444.68,1192.81,0.0,House
Elaine G. Luria,Female,White,,,Yes,No,Virginia,Representative,2,Won,,Elaine Luria,DEM,"LURIA, ELAINE",H,DEM,VA,2.0,C,I,2018-01-01,10795195.37,10655436.08,281934.03,0.0,House
"Robert C. ""Bobby"" Scott",Male,Black,,,Yes,No,Virginia,Representative,3,Won,,Robert Scott,DEM,"SCOTT, ROBERT C",H,DEM,VA,3.0,C,I,1986-04-01,851699.46,856029.9,192336.91,3191.43,House
Joshua M. Throneburg,Male,White,,,No,No,Virginia,Representative,5,Won,,Joshua Throneburg,DEM,"THRONEBURG, JOSHUA",H,DEM,VA,5.0,C,C,2021-07-16,879916.53,861816.15,18100.38,50000.0,House
Abigail A. Spanberger,Female,White,,,Yes,No,Virginia,Representative,7,Won,,Abigail Spanberger,DEM,"SPANBERGER, ABIGAIL",H,DEM,VA,7.0,C,I,2017-07-10,9083201.29,9384948.4,280386.04,0.0,House
